# TargetP-2.0	Organism: Plant	Timestamp: 20231212165150
# ID	Prediction	OTHER	SP	mTP	cTP	lTP	CS Position
KAI7837147.1	OTHER	0.990934	0.001678	0.000598	0.006752	0.000037	
KAI7837150.1	cTP	0.000438	0.000000	0.000210	0.999324	0.000028	CS pos: 62-63. VRA-AN. Pr: 0.4225
KAI7837151.1	OTHER	0.515796	0.054765	0.382526	0.046817	0.000095	
KAI7837152.1	SP	0.000046	0.948058	0.044537	0.007355	0.000005	CS pos: 23-24. ALG-AA. Pr: 0.5158
KAI7837153.1	SP	0.000046	0.948058	0.044537	0.007355	0.000005	CS pos: 23-24. ALG-AA. Pr: 0.5158
KAI7837180.1	OTHER	0.756809	0.234980	0.000875	0.001482	0.005853	
KAI7837191.1	cTP	0.000258	0.000077	0.004442	0.994079	0.001144	CS pos: 35-36. VSN-AT. Pr: 0.1508
KAI7837194.1	OTHER	0.999966	0.000033	0.000000	0.000001	0.000000	
KAI7837215.1	OTHER	0.995815	0.003369	0.000770	0.000005	0.000040	
KAI7837224.1	OTHER	0.986587	0.000925	0.000028	0.011869	0.000591	
KAI7837227.1	cTP	0.269836	0.000038	0.004163	0.724845	0.001118	CS pos: 55-56. VAC-SL. Pr: 0.5589
KAI7837229.1	OTHER	0.800677	0.003014	0.001440	0.192497	0.002372	
KAI7837241.1	SP	0.012055	0.875126	0.016783	0.095668	0.000369	CS pos: 23-24. AAA-AR. Pr: 0.7624
KAI7837251.1	OTHER	0.641781	0.003014	0.079165	0.266659	0.009380	
KAI7837256.1	OTHER	0.998361	0.000834	0.000741	0.000058	0.000007	
KAI7837257.1	OTHER	0.998930	0.000170	0.000893	0.000006	0.000001	
KAI7837259.1	OTHER	0.917499	0.027038	0.055173	0.000275	0.000015	
KAI7837262.1	OTHER	0.826487	0.029454	0.143644	0.000404	0.000011	
KAI7837271.1	OTHER	0.999300	0.000680	0.000020	0.000001	0.000000	
KAI7837276.1	OTHER	0.999268	0.000004	0.000030	0.000605	0.000093	
KAI7837277.1	OTHER	0.975348	0.020761	0.003752	0.000133	0.000005	
KAI7837279.1	SP	0.005675	0.894963	0.027905	0.069462	0.001995	CS pos: 26-27. VFA-KA. Pr: 0.7885
KAI7837290.1	OTHER	0.987356	0.001867	0.000335	0.010334	0.000109	
KAI7837291.1	OTHER	0.999780	0.000220	0.000000	0.000000	0.000000	
KAI7837295.1	cTP	0.200417	0.050974	0.092313	0.533114	0.123182	CS pos: 58-59. AVL-ER. Pr: 0.1971
KAI7837304.1	cTP	0.003453	0.000003	0.032405	0.964004	0.000135	CS pos: 42-43. ARA-RQ. Pr: 0.4885
KAI7837306.1	cTP	0.000887	0.000001	0.065062	0.932513	0.001538	CS pos: 32-33. VRA-QK. Pr: 0.5357
KAI7837314.1	OTHER	0.999112	0.000855	0.000033	0.000000	0.000000	
KAI7837320.1	cTP	0.269859	0.000046	0.008034	0.721254	0.000807	CS pos: 116-117. AAR-AV. Pr: 0.2120
KAI7837330.1	OTHER	0.992967	0.000329	0.000478	0.006118	0.000108	
KAI7837331.1	OTHER	0.740565	0.177960	0.049205	0.017101	0.015169	
KAI7837335.1	OTHER	0.999831	0.000152	0.000004	0.000012	0.000001	
KAI7837339.1	OTHER	0.976751	0.007059	0.002128	0.013993	0.000068	
KAI7837343.1	OTHER	0.886940	0.004716	0.024362	0.078201	0.005781	
KAI7837353.1	SP	0.232701	0.739970	0.011806	0.014705	0.000818	CS pos: 22-23. VSG-AS. Pr: 0.2491
KAI7837354.1	mTP	0.003644	0.000070	0.957292	0.038992	0.000002	CS pos: 39-40. RLF-SA. Pr: 0.8804
KAI7837357.1	OTHER	0.990620	0.009307	0.000064	0.000008	0.000001	
KAI7837358.1	OTHER	0.990620	0.009307	0.000064	0.000008	0.000001	
KAI7837371.1	OTHER	0.999940	0.000058	0.000002	0.000001	0.000000	
KAI7837374.1	OTHER	0.971602	0.000023	0.000187	0.027925	0.000263	
KAI7837378.1	cTP	0.066681	0.000805	0.060960	0.870996	0.000558	CS pos: 29-30. APN-AI. Pr: 0.2157
KAI7837383.1	OTHER	0.839475	0.018181	0.019146	0.121925	0.001272	
KAI7837385.1	OTHER	0.636360	0.000565	0.057369	0.246067	0.059639	
KAI7837386.1	OTHER	0.992380	0.001268	0.006318	0.000030	0.000004	
KAI7837397.1	cTP	0.051075	0.000009	0.169341	0.779432	0.000143	CS pos: 33-34. VRA-AY. Pr: 0.6771
KAI7837398.1	OTHER	0.972598	0.000261	0.021393	0.005681	0.000067	
KAI7837412.1	cTP	0.001514	0.000099	0.001566	0.963409	0.033411	CS pos: 44-45. IAM-AS. Pr: 0.1267
KAI7837420.1	OTHER	0.997247	0.000732	0.001175	0.000840	0.000007	
KAI7837438.1	cTP	0.015885	0.000002	0.004144	0.979952	0.000017	CS pos: 57-58. VRT-AA. Pr: 0.2990
KAI7837439.1	OTHER	0.953647	0.005622	0.033030	0.003350	0.004351	
KAI7837440.1	OTHER	0.997396	0.002290	0.000304	0.000009	0.000001	
KAI7837446.1	OTHER	0.998497	0.000981	0.000366	0.000061	0.000094	
KAI7837450.1	cTP	0.303866	0.000024	0.006246	0.689377	0.000487	CS pos: 76-77. VTS-VT. Pr: 0.2492
KAI7837454.1	OTHER	0.993869	0.002215	0.003755	0.000159	0.000002	
KAI7837467.1	OTHER	0.999818	0.000168	0.000012	0.000003	0.000000	
KAI7837472.1	OTHER	0.999710	0.000274	0.000016	0.000000	0.000000	
KAI7837479.1	OTHER	0.729828	0.000163	0.000692	0.269260	0.000057	
KAI7837480.1	OTHER	0.729828	0.000163	0.000692	0.269260	0.000057	
KAI7837493.1	cTP	0.364662	0.000038	0.001162	0.634082	0.000056	CS pos: 60-61. VAA-AA. Pr: 0.2559
KAI7837513.1	OTHER	0.997063	0.002604	0.000331	0.000002	0.000000	
KAI7837523.1	OTHER	0.999906	0.000081	0.000006	0.000002	0.000006	
KAI7837525.1	OTHER	0.979097	0.007224	0.009366	0.004063	0.000250	
KAI7837531.1	OTHER	0.865291	0.001214	0.084742	0.048517	0.000236	
KAI7837532.1	OTHER	0.865291	0.001214	0.084742	0.048517	0.000236	
KAI7837538.1	OTHER	0.997300	0.000438	0.002199	0.000046	0.000017	
KAI7837539.1	OTHER	0.987418	0.000479	0.011995	0.000106	0.000002	
KAI7837558.1	cTP	0.123900	0.000002	0.010823	0.863403	0.001870	CS pos: 39-40. VQA-AG. Pr: 0.7571
KAI7837566.1	SP	0.000115	0.999869	0.000015	0.000002	0.000000	CS pos: 22-23. VLG-AP. Pr: 0.2799
KAI7837580.1	OTHER	0.996816	0.001764	0.000315	0.001100	0.000005	
KAI7837581.1	OTHER	0.997137	0.000809	0.002004	0.000020	0.000030	
KAI7837584.1	cTP	0.184651	0.011359	0.000018	0.768966	0.035005	CS pos: 90-91. SDA-AA. Pr: 0.1440
KAI7837586.1	OTHER	0.997189	0.000879	0.001165	0.000746	0.000021	
KAI7837590.1	OTHER	0.944073	0.024792	0.030544	0.000584	0.000007	
KAI7837592.1	OTHER	0.998787	0.001200	0.000003	0.000010	0.000000	
KAI7837599.1	mTP	0.001285	0.000047	0.997130	0.001538	0.000001	CS pos: 21-22. RGL-AS. Pr: 0.5674
KAI7837600.1	mTP	0.342785	0.000065	0.657029	0.000120	0.000001	CS pos: 24-25. RSY-SL. Pr: 0.6687
KAI7837603.1	mTP	0.059002	0.002102	0.523454	0.413453	0.001989	CS pos: 28-29. RWL-ST. Pr: 0.6993
KAI7837604.1	mTP	0.057123	0.001462	0.940474	0.000926	0.000015	CS pos: 30-31. RAL-SS. Pr: 0.4989
KAI7837605.1	OTHER	0.999534	0.000461	0.000005	0.000000	0.000000	
KAI7837614.1	OTHER	0.977125	0.016490	0.001571	0.004290	0.000523	
KAI7837615.1	OTHER	0.999982	0.000015	0.000002	0.000001	0.000000	
KAI7837616.1	OTHER	0.989952	0.010041	0.000006	0.000001	0.000000	
KAI7837618.1	OTHER	0.999988	0.000007	0.000002	0.000003	0.000000	
KAI7837624.1	OTHER	0.921346	0.004275	0.073892	0.000296	0.000190	
KAI7837625.1	OTHER	0.921346	0.004275	0.073892	0.000296	0.000190	
KAI7837626.1	OTHER	0.921346	0.004275	0.073892	0.000296	0.000190	
KAI7837636.1	OTHER	0.999271	0.000281	0.000169	0.000266	0.000014	
KAI7837637.1	OTHER	0.999953	0.000046	0.000000	0.000000	0.000000	
KAI7837638.1	OTHER	0.999953	0.000046	0.000000	0.000000	0.000000	
KAI7837639.1	mTP	0.143718	0.000250	0.837055	0.017964	0.001012	CS pos: 38-39. AAF-NA. Pr: 0.1667
KAI7837648.1	OTHER	0.999632	0.000265	0.000006	0.000097	0.000001	
KAI7837659.1	OTHER	0.997727	0.001782	0.000472	0.000013	0.000007	
KAI7837666.1	cTP	0.081936	0.000013	0.000029	0.917814	0.000208	CS pos: 53-54. QTC-AT. Pr: 0.5058
KAI7837667.1	cTP	0.081936	0.000013	0.000029	0.917814	0.000208	CS pos: 53-54. QTC-AT. Pr: 0.5058
KAI7837673.1	OTHER	0.926229	0.004510	0.049944	0.019245	0.000072	
KAI7837674.1	OTHER	0.869840	0.127064	0.002483	0.000499	0.000114	
KAI7837675.1	mTP	0.024445	0.000005	0.974888	0.000662	0.000000	CS pos: 44-45. RWL-SG. Pr: 0.5470
KAI7837687.1	cTP	0.242881	0.008409	0.034143	0.713635	0.000932	CS pos: 44-45. VCL-AA. Pr: 0.3171
KAI7837688.1	OTHER	0.999780	0.000104	0.000000	0.000116	0.000000	
KAI7837691.1	OTHER	0.967530	0.000986	0.031436	0.000023	0.000024	
KAI7837692.1	OTHER	0.998851	0.001011	0.000011	0.000126	0.000000	
KAI7837696.1	OTHER	0.976784	0.000944	0.004147	0.015350	0.002774	
KAI7837698.1	cTP	0.000298	0.000000	0.002737	0.980936	0.016029	CS pos: 51-52. VFA-QA. Pr: 0.4424
KAI7837704.1	SP	0.000511	0.996841	0.002411	0.000234	0.000003	CS pos: 22-23. AAA-AD. Pr: 0.6820
KAI7837708.1	OTHER	0.911778	0.005395	0.044871	0.034423	0.003534	
KAI7837710.1	OTHER	0.998747	0.000648	0.000604	0.000000	0.000001	
KAI7837736.1	OTHER	0.694100	0.254395	0.047926	0.003424	0.000156	
KAI7837746.1	OTHER	0.949656	0.049524	0.000269	0.000541	0.000010	
KAI7837750.1	OTHER	0.964893	0.006637	0.017894	0.010380	0.000196	
KAI7837751.1	cTP	0.022946	0.000022	0.003588	0.970550	0.002894	CS pos: 76-77. VSA-KK. Pr: 0.3010
KAI7837757.1	OTHER	0.999025	0.000960	0.000014	0.000000	0.000000	
KAI7837766.1	OTHER	0.998626	0.000599	0.000382	0.000295	0.000098	
KAI7837786.1	mTP	0.046452	0.000179	0.501612	0.451384	0.000373	CS pos: 48-49. KCN-GT. Pr: 0.1843
KAI7837806.1	cTP	0.000622	0.000001	0.000026	0.999076	0.000276	CS pos: 53-54. VAA-AA. Pr: 0.5442
KAI7837822.1	OTHER	0.990900	0.007080	0.001772	0.000215	0.000033	
KAI7837823.1	OTHER	0.999962	0.000011	0.000010	0.000016	0.000000	
KAI7837861.1	OTHER	0.583083	0.003102	0.008991	0.402512	0.002313	
KAI7837864.1	OTHER	0.994370	0.000037	0.000028	0.005553	0.000011	
KAI7837868.1	OTHER	0.921891	0.002980	0.074778	0.000214	0.000138	
KAI7837884.1	OTHER	0.998502	0.001308	0.000071	0.000114	0.000005	
KAI7837900.1	OTHER	0.998843	0.001141	0.000016	0.000001	0.000000	
KAI7837903.1	OTHER	0.997626	0.000252	0.000888	0.001228	0.000006	
KAI7837904.1	cTP	0.171665	0.000029	0.004906	0.745354	0.078047	CS pos: 40-41. PRA-AG. Pr: 0.2242
KAI7837906.1	cTP	0.112567	0.000190	0.044088	0.841863	0.001291	CS pos: 33-34. VPS-VL. Pr: 0.3483
KAI7837907.1	OTHER	0.988429	0.011570	0.000000	0.000001	0.000000	
KAI7837908.1	cTP	0.067773	0.000207	0.141144	0.790502	0.000374	CS pos: 22-23. VRA-EE. Pr: 0.6404
KAI7837914.1	cTP	0.326935	0.000697	0.031401	0.453560	0.187407	CS pos: 39-40. QIA-AD. Pr: 0.3009
KAI7837924.1	cTP	0.000974	0.000000	0.019025	0.979937	0.000064	CS pos: 55-56. AAA-AV. Pr: 0.2943
KAI7837925.1	cTP	0.000974	0.000000	0.019025	0.979937	0.000064	CS pos: 55-56. AAA-AV. Pr: 0.2943
KAI7837926.1	SP	0.001963	0.990900	0.004300	0.002822	0.000016	CS pos: 23-24. AAA-AP. Pr: 0.4271
KAI7837927.1	OTHER	0.999218	0.000765	0.000017	0.000000	0.000000	
KAI7837932.1	SP	0.327654	0.361808	0.037684	0.266794	0.006060	CS pos: 26-27. TYA-AL. Pr: 0.3939
KAI7837934.1	OTHER	0.805982	0.050337	0.005329	0.136520	0.001832	
KAI7837938.1	OTHER	0.999998	0.000001	0.000000	0.000001	0.000000	
KAI7837939.1	OTHER	0.986915	0.000723	0.012151	0.000135	0.000076	
KAI7837950.1	OTHER	0.998671	0.001328	0.000000	0.000000	0.000000	
KAI7837951.1	OTHER	0.999646	0.000353	0.000000	0.000000	0.000000	
KAI7837952.1	OTHER	0.896856	0.000384	0.000006	0.102594	0.000160	
KAI7837953.1	OTHER	0.994053	0.005695	0.000012	0.000237	0.000003	
KAI7837955.1	OTHER	0.999733	0.000266	0.000000	0.000001	0.000000	
KAI7837959.1	OTHER	0.999856	0.000142	0.000000	0.000002	0.000000	
KAI7837964.1	OTHER	0.997767	0.002231	0.000001	0.000000	0.000000	
KAI7837968.1	OTHER	0.999599	0.000158	0.000059	0.000154	0.000030	
KAI7837973.1	cTP	0.446720	0.000209	0.061486	0.491265	0.000319	CS pos: 36-37. AAM-AA. Pr: 0.3337
KAI7837976.1	OTHER	0.941796	0.001757	0.002251	0.009821	0.044374	
KAI7837982.1	OTHER	0.840870	0.043896	0.108486	0.005672	0.001075	
KAI7837984.1	OTHER	0.606994	0.000018	0.003602	0.389354	0.000032	
KAI7837988.1	OTHER	0.980516	0.001940	0.000060	0.000529	0.016955	
KAI7837992.1	OTHER	0.997657	0.000159	0.000650	0.001357	0.000177	
KAI7837993.1	OTHER	0.999960	0.000038	0.000002	0.000000	0.000000	
KAI7837997.1	OTHER	0.999611	0.000383	0.000005	0.000001	0.000000	
KAI7838001.1	OTHER	0.999972	0.000027	0.000002	0.000000	0.000000	
KAI7838006.1	OTHER	0.999961	0.000002	0.000027	0.000011	0.000000	
KAI7838007.1	OTHER	0.884608	0.008183	0.106734	0.000426	0.000049	
KAI7838009.1	mTP	0.139127	0.001526	0.753658	0.105332	0.000358	CS pos: 39-40. ARG-VS. Pr: 0.1367
KAI7838012.1	OTHER	0.984142	0.003425	0.000368	0.011978	0.000087	
KAI7838013.1	OTHER	0.977938	0.005790	0.000428	0.015699	0.000144	
KAI7838019.1	OTHER	0.981510	0.001003	0.017477	0.000001	0.000010	
KAI7838025.1	OTHER	0.999846	0.000062	0.000090	0.000001	0.000000	
KAI7838029.1	OTHER	0.998235	0.000403	0.001337	0.000022	0.000002	
KAI7838033.1	OTHER	0.411812	0.007725	0.344466	0.234591	0.001406	
KAI7838041.1	mTP	0.015507	0.000005	0.984485	0.000002	0.000000	CS pos: 26-27. RQL-TT. Pr: 0.4819
KAI7838044.1	OTHER	0.890788	0.108260	0.000816	0.000103	0.000033	
KAI7838048.1	OTHER	0.903935	0.001007	0.092350	0.002276	0.000431	
KAI7838052.1	SP	0.000033	0.999822	0.000137	0.000003	0.000004	CS pos: 19-20. AAG-RE. Pr: 0.3791
KAI7838053.1	SP	0.000368	0.999104	0.000499	0.000019	0.000010	CS pos: 19-20. VAG-RE. Pr: 0.3785
KAI7838068.1	OTHER	0.999757	0.000029	0.000000	0.000214	0.000000	
KAI7838071.1	cTP	0.350617	0.091910	0.045938	0.505277	0.006258	CS pos: 28-29. AMC-IR. Pr: 0.1471
KAI7838088.1	cTP	0.000018	0.000000	0.000412	0.999426	0.000144	CS pos: 45-46. RVL-AQ. Pr: 0.2953
KAI7838108.1	OTHER	0.996217	0.003739	0.000022	0.000020	0.000001	
KAI7838111.1	OTHER	0.997388	0.001930	0.000498	0.000108	0.000076	
KAI7838112.1	OTHER	0.997455	0.001907	0.000460	0.000103	0.000075	
KAI7838123.1	OTHER	0.848289	0.000168	0.018696	0.132000	0.000848	
KAI7838140.1	OTHER	0.952861	0.001654	0.015832	0.022898	0.006754	
KAI7838142.1	OTHER	0.981055	0.007365	0.011501	0.000067	0.000012	
KAI7838151.1	lTP	0.001044	0.000061	0.004217	0.417382	0.577296	CS pos lTP: 51-52. ANA-LT. Pr: 0.6290; CS pos cTP: 27-28. Pr: 0.3991
KAI7838164.1	OTHER	0.986345	0.001234	0.005409	0.007000	0.000011	
KAI7838168.1	mTP	0.026513	0.014102	0.958745	0.000638	0.000003	CS pos: 21-22. RAF-SA. Pr: 0.6637
KAI7838169.1	OTHER	0.820479	0.000892	0.178155	0.000415	0.000059	
KAI7838170.1	mTP	0.132332	0.100531	0.754540	0.012523	0.000074	CS pos: 45-46. QRS-AA. Pr: 0.4769
KAI7838183.1	cTP	0.351568	0.000089	0.075744	0.567346	0.005254	CS pos: 38-39. YTC-AR. Pr: 0.3315
KAI7838186.1	SP	0.000091	0.999777	0.000132	0.000000	0.000000	CS pos: 31-32. VRG-QE. Pr: 0.9343
KAI7838188.1	OTHER	0.999904	0.000033	0.000032	0.000031	0.000000	
KAI7838189.1	cTP	0.006190	0.000002	0.342598	0.651172	0.000037	CS pos: 57-58. ARA-AA. Pr: 0.3677
KAI7838192.1	OTHER	0.998639	0.001313	0.000010	0.000038	0.000000	
KAI7838215.1	OTHER	0.971761	0.006604	0.016674	0.003856	0.001105	
KAI7838226.1	OTHER	0.999086	0.000179	0.000228	0.000486	0.000022	
KAI7838236.1	OTHER	0.887911	0.017639	0.083954	0.006418	0.004078	
KAI7838237.1	OTHER	0.999459	0.000536	0.000004	0.000000	0.000000	
KAI7838249.1	OTHER	0.938607	0.016222	0.042220	0.002592	0.000360	
KAI7838259.1	OTHER	0.972215	0.025418	0.001459	0.000738	0.000170	
KAI7838260.1	OTHER	0.758870	0.000419	0.240679	0.000013	0.000020	
KAI7838261.1	OTHER	0.997820	0.001701	0.000443	0.000033	0.000003	
KAI7838262.1	SP	0.000184	0.999808	0.000007	0.000001	0.000000	CS pos: 20-21. ALA-AV. Pr: 0.5796
KAI7838273.1	OTHER	0.887312	0.010217	0.101755	0.000661	0.000055	
KAI7838277.1	OTHER	0.999948	0.000051	0.000000	0.000000	0.000000	
KAI7838280.1	OTHER	0.997974	0.001120	0.000898	0.000006	0.000001	
KAI7838288.1	OTHER	0.652983	0.339602	0.000946	0.005684	0.000785	
KAI7838295.1	cTP	0.000118	0.000001	0.000568	0.999300	0.000013	CS pos: 38-39. VRA-AE. Pr: 0.8116
KAI7838296.1	SP	0.000004	0.999989	0.000007	0.000000	0.000000	CS pos: 24-25. ARA-AT. Pr: 0.7516
KAI7838303.1	cTP	0.017042	0.000134	0.068774	0.913969	0.000081	CS pos: 50-51. IAM-AE. Pr: 0.5937
KAI7838304.1	cTP	0.017042	0.000134	0.068774	0.913969	0.000081	CS pos: 50-51. IAM-AE. Pr: 0.5937
KAI7838314.1	OTHER	0.999787	0.000205	0.000005	0.000002	0.000000	
KAI7838318.1	OTHER	0.611964	0.002630	0.360610	0.024481	0.000314	
KAI7838327.1	OTHER	0.998078	0.000390	0.000048	0.001468	0.000017	
KAI7838339.1	OTHER	0.999797	0.000109	0.000069	0.000014	0.000011	
KAI7838360.1	SP	0.000286	0.999627	0.000059	0.000027	0.000001	CS pos: 20-21. AAA-GR. Pr: 0.7667
KAI7838367.1	OTHER	0.999907	0.000081	0.000011	0.000001	0.000000	
KAI7838389.1	OTHER	0.997585	0.000878	0.000480	0.000747	0.000309	
KAI7838390.1	OTHER	0.999819	0.000071	0.000021	0.000090	0.000000	
KAI7838404.1	OTHER	0.590465	0.383161	0.025581	0.000646	0.000147	
KAI7838407.1	OTHER	0.979963	0.001103	0.018430	0.000275	0.000229	
KAI7838412.1	OTHER	0.813729	0.179345	0.005955	0.000945	0.000025	
KAI7838414.1	OTHER	0.982481	0.000009	0.000000	0.011624	0.005886	
KAI7838435.1	OTHER	0.766305	0.000215	0.233477	0.000002	0.000001	
KAI7838452.1	OTHER	0.998548	0.000979	0.000266	0.000016	0.000191	
KAI7838456.1	OTHER	0.972568	0.001915	0.025157	0.000354	0.000006	
KAI7838464.1	OTHER	0.999724	0.000172	0.000069	0.000033	0.000002	
KAI7838470.1	OTHER	0.967936	0.002178	0.007999	0.017344	0.004543	
KAI7838476.1	OTHER	0.999928	0.000070	0.000000	0.000001	0.000000	
KAI7838478.1	SP	0.006932	0.974637	0.013899	0.004511	0.000021	CS pos: 20-21. AAA-RR. Pr: 0.6249
KAI7838483.1	cTP	0.050564	0.010936	0.045083	0.838089	0.055328	CS pos: 22-23. VLC-AT. Pr: 0.1885
KAI7838491.1	cTP	0.016880	0.000082	0.247506	0.732409	0.003123	CS pos: 32-33. VQC-VA. Pr: 0.7013
KAI7838506.1	cTP	0.000212	0.000711	0.114249	0.884819	0.000009	CS pos: 37-38. TLC-GA. Pr: 0.3386
KAI7838515.1	OTHER	0.994832	0.001402	0.003066	0.000696	0.000003	
KAI7838520.1	SP	0.000476	0.998878	0.000611	0.000035	0.000000	CS pos: 28-29. VAA-AR. Pr: 0.6378
KAI7838526.1	cTP	0.000733	0.000044	0.000992	0.998217	0.000013	CS pos: 49-50. VGQ-AG. Pr: 0.6033
KAI7838527.1	OTHER	0.799258	0.065452	0.024769	0.109559	0.000962	
KAI7838529.1	cTP	0.001424	0.000000	0.001854	0.996157	0.000565	CS pos: 41-42. CVA-EV. Pr: 0.3069
KAI7838534.1	OTHER	0.703468	0.295076	0.000407	0.001023	0.000027	
KAI7838536.1	mTP	0.220805	0.003279	0.704822	0.071078	0.000015	CS pos: 50-51. RHF-VS. Pr: 0.5303
KAI7838539.1	OTHER	0.998812	0.000937	0.000196	0.000054	0.000000	
KAI7838542.1	mTP	0.068636	0.000310	0.827738	0.103300	0.000016	CS pos: 21-22. QHL-SS. Pr: 0.3221
KAI7838547.1	OTHER	0.999996	0.000004	0.000000	0.000000	0.000000	
KAI7838568.1	OTHER	0.962472	0.000046	0.000007	0.037370	0.000105	
KAI7838571.1	mTP	0.000436	0.000755	0.924716	0.073978	0.000115	CS pos: 51-52. RRY-SS. Pr: 0.9399
KAI7838580.1	SP	0.034389	0.959882	0.005390	0.000329	0.000010	CS pos: 38-39. AAA-NV. Pr: 0.6766
KAI7838584.1	OTHER	0.906639	0.002241	0.047667	0.042204	0.001249	
KAI7838585.1	SP	0.000016	0.999983	0.000001	0.000000	0.000000	CS pos: 19-20. AAA-NV. Pr: 0.6200
KAI7838586.1	OTHER	0.999383	0.000506	0.000031	0.000076	0.000005	
KAI7838596.1	OTHER	0.998004	0.000817	0.000810	0.000364	0.000005	
KAI7838597.1	cTP	0.000687	0.000020	0.211457	0.779843	0.007994	CS pos: 42-43. STA-TK. Pr: 0.1126
KAI7838599.1	cTP	0.155907	0.000296	0.177726	0.664623	0.001448	CS pos: 59-60. AVA-AQ. Pr: 0.1970
KAI7838600.1	OTHER	0.910202	0.001496	0.056809	0.031429	0.000064	
KAI7838609.1	OTHER	0.981948	0.017819	0.000012	0.000213	0.000009	
KAI7838614.1	SP	0.000037	0.999962	0.000001	0.000000	0.000000	CS pos: 22-23. AAA-AA. Pr: 0.4694
KAI7838617.1	OTHER	0.998780	0.001153	0.000055	0.000002	0.000011	
KAI7838618.1	OTHER	0.982729	0.006435	0.010443	0.000382	0.000011	
KAI7838623.1	OTHER	0.999973	0.000026	0.000001	0.000000	0.000000	
KAI7838625.1	OTHER	0.741563	0.000315	0.121509	0.136504	0.000109	
KAI7838626.1	OTHER	0.998983	0.000716	0.000073	0.000015	0.000212	
KAI7838627.1	OTHER	0.999256	0.000719	0.000012	0.000013	0.000001	
KAI7838657.1	OTHER	0.996467	0.000977	0.000928	0.001608	0.000019	
KAI7838679.1	OTHER	0.926372	0.066681	0.000351	0.006407	0.000190	
KAI7838688.1	cTP	0.000272	0.000030	0.001103	0.998538	0.000057	CS pos: 32-33. VAQ-AH. Pr: 0.3834
KAI7838690.1	mTP	0.311426	0.000063	0.688389	0.000114	0.000008	CS pos: 30-31. RTM-IT. Pr: 0.2189
KAI7838691.1	mTP	0.311426	0.000063	0.688389	0.000114	0.000008	CS pos: 30-31. RTM-IT. Pr: 0.2189
KAI7838692.1	mTP	0.303753	0.000061	0.696064	0.000113	0.000008	CS pos: 30-31. RTM-IT. Pr: 0.2191
KAI7838708.1	OTHER	0.996791	0.000910	0.001982	0.000304	0.000013	
KAI7838722.1	OTHER	0.668435	0.077865	0.253357	0.000294	0.000050	
KAI7838730.1	mTP	0.080279	0.000566	0.882392	0.036707	0.000056	CS pos: 40-41. QAF-AG. Pr: 0.3559
KAI7838733.1	OTHER	0.999618	0.000371	0.000011	0.000000	0.000000	
KAI7838735.1	OTHER	0.998781	0.000789	0.000389	0.000041	0.000000	
KAI7838737.1	OTHER	0.999990	0.000009	0.000000	0.000001	0.000000	
KAI7838743.1	OTHER	0.995201	0.003206	0.001541	0.000041	0.000012	
KAI7838749.1	OTHER	0.996869	0.001993	0.001135	0.000002	0.000000	
KAI7838752.1	SP	0.006570	0.990041	0.002694	0.000641	0.000054	CS pos: 24-25. LQA-AI. Pr: 0.4209
KAI7838757.1	OTHER	0.999447	0.000472	0.000039	0.000038	0.000004	
KAI7838779.1	mTP	0.002272	0.000044	0.997503	0.000180	0.000000	CS pos: 29-30. RAL-ST. Pr: 0.7164
KAI7838787.1	OTHER	0.992541	0.001106	0.004641	0.001663	0.000050	
KAI7838795.1	OTHER	0.992363	0.007629	0.000007	0.000001	0.000000	
KAI7838801.1	cTP	0.113894	0.000064	0.043033	0.840753	0.002256	CS pos: 30-31. VQA-VQ. Pr: 0.4316
KAI7838805.1	OTHER	0.695682	0.000130	0.109165	0.193266	0.001757	
KAI7838814.1	OTHER	0.995696	0.004086	0.000102	0.000113	0.000003	
KAI7838815.1	SP	0.002106	0.996140	0.001528	0.000115	0.000110	CS pos: 22-23. GVA-QQ. Pr: 0.2980
KAI7838816.1	SP	0.002106	0.996140	0.001528	0.000115	0.000110	CS pos: 22-23. GVA-QQ. Pr: 0.2980
KAI7838822.1	OTHER	0.998530	0.001468	0.000001	0.000001	0.000000	
KAI7838825.1	OTHER	0.998954	0.000944	0.000073	0.000002	0.000027	
KAI7838842.1	OTHER	0.986329	0.008211	0.005227	0.000231	0.000001	
KAI7838852.1	OTHER	0.997141	0.001142	0.000010	0.001643	0.000065	
KAI7838862.1	cTP	0.198437	0.000021	0.006952	0.535244	0.259345	CS pos: 104-105. AHA-EA. Pr: 0.4355
KAI7838863.1	cTP	0.198437	0.000021	0.006952	0.535244	0.259345	CS pos: 104-105. AHA-EA. Pr: 0.4355
KAI7838872.1	SP	0.000613	0.999161	0.000219	0.000005	0.000003	CS pos: 20-21. ASA-QL. Pr: 0.7778
KAI7838875.1	OTHER	0.999839	0.000141	0.000019	0.000000	0.000000	
KAI7838877.1	SP	0.171178	0.825783	0.002355	0.000081	0.000603	CS pos: 26-27. AFA-RL. Pr: 0.9172
KAI7838879.1	OTHER	0.830464	0.067689	0.032639	0.068771	0.000437	
KAI7838880.1	cTP	0.219018	0.076442	0.273879	0.425694	0.004968	CS pos: 44-45. RLY-AF. Pr: 0.1920
KAI7838881.1	OTHER	0.963140	0.004333	0.029088	0.003338	0.000100	
KAI7838891.1	OTHER	0.999882	0.000030	0.000085	0.000003	0.000000	
KAI7838917.1	OTHER	0.998359	0.001632	0.000005	0.000004	0.000000	
